ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0165","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a6af41a30fdc15ee.jpg",3072,3072,1428309,"c837bbd433f583b941d9f4ee90c52b5bca9677737663a9989015c9b4bd2d1606",True,1,1070
"legacy-image-0166","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a722e3b695f20f08.jpg",2048,2048,379395,"b63b867934d64f00401bba6584d7fea22d6bc81e57bb6d99ee5406cfa8d82d61",True,1,1070
"legacy-image-0169","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a9a2dd9dc6870c66.jpg",1522,1522,195800,"0984543ea367bd1ed0dea26484788697329f4fb0088baa96ecff8c6a1e7a3507",True,1,1070
"legacy-image-0170","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__ab8adb2fb4d787ec.png",1024,1024,726421,"2792ff17b692ffdf54cf9e93c2a3888a5b178e40344c51274365500199538824",True,1,1070
"legacy-image-0171","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__ae80120d522a404a.png",3000,3000,2585862,"27d71f0e98f57cf21df2044bdfeb15888b95a5a497d18bf27e5eaecc26b6a232",True,1,1070
"legacy-image-0173","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b02206a528ff82c0.png",1522,1522,765441,"2fda7255cf9d05059f3b0ca730c21cf821739bf5d347ed246d10dc26df34513a",True,1,1070
"legacy-image-0178","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b50b1b6db57105a6.jpg",3072,3072,1428085,"d7a7dde679a90b2c443ec83fe6caeba9eb87aebfcaec949b0006ce8e9dc11044",True,1,1070
"legacy-image-0179","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b52c3d72d013ceaf.jpg",2048,2048,349101,"025826a0244bc9e518ee55fe8ffce456849dd5f3dce8e0da29947a5d55cef0d6",True,1,1070
"legacy-image-0181","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b5702c22e1f3090a.jpg",2048,2048,451425,"60ef69cd53eb0d92629c4fc45c2382e0dc5bf3b67022377d527f58df6bb86831",True,1,1070
"legacy-image-0182","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b5d5d5cf72e82648.jpg",2048,2048,465672,"c627db6596aac7c6350f640e59a820e4d432a00178c50b9526dd68589f6074c3",True,1,1070
